Time,PlayerFish,TotalFish,Self,Cross,Score
0,1,1,0 (0%),0 (0%),100
1,1,1,0 (0%),0 (0%),100
2,1,1,0 (0%),0 (0%),100
3,1,1,0 (0%),0 (0%),100
4,1,1,0 (0%),0 (0%),100
5,1,1,0 (0%),0 (0%),100
6,1,1,0 (0%),0 (0%),100
7,1,1,0 (0%),0 (0%),100
8,1,1,0 (0%),0 (0%),100
9,1,1,0 (0%),0 (0%),100
10,4,4,1 (100%),0 (0%),100
11,4,4,1 (100%),0 (0%),100
12,4,4,1 (100%),0 (0%),100
13,4,4,1 (100%),0 (0%),100
14,4,4,1 (100%),0 (0%),100
15,4,4,1 (100%),0 (0%),100
16,4,4,1 (100%),0 (0%),100
17,4,4,1 (100%),0 (0%),100
18,4,4,1 (100%),0 (0%),100
19,4,4,1 (100%),0 (0%),100
20,4,4,1 (100%),0 (0%),100
21,7,7,1 (100%),0 (0%),100
22,7,7,1 (100%),0 (0%),100
23,7,7,1 (100%),0 (0%),100
24,7,7,1 (100%),0 (0%),100
25,7,7,1 (100%),0 (0%),100
26,7,7,1 (100%),0 (0%),100
27,10,10,2 (100%),0 (0%),100
28,13,13,2 (100%),0 (0%),100
29,15,15,2 (100%),0 (0%),100
30,15,15,2 (100%),0 (0%),100
31,15,15,2 (100%),0 (0%),100
32,15,15,2 (100%),0 (0%),100
33,12,12,2 (100%),0 (0%),100
34,12,12,2 (100%),0 (0%),100
35,12,12,2 (100%),0 (0%),100
36,12,12,2 (100%),0 (0%),100
37,12,12,2 (100%),0 (0%),100
38,12,12,2 (100%),0 (0%),100
39,12,12,2 (100%),0 (0%),100
40,15,15,2 (100%),0 (0%),100
41,15,15,2 (100%),0 (0%),100
42,18,18,2 (100%),0 (0%),100
43,17,17,2 (100%),0 (0%),100
44,20,20,3 (100%),0 (0%),100
45,20,20,3 (100%),0 (0%),100
46,20,20,3 (100%),0 (0%),100
47,20,20,3 (100%),0 (0%),100
48,20,20,3 (100%),0 (0%),100
