Time,PlayerFish,TotalFish,Self,Cross,Score
0,1,7,0 (0%),0 (0%),14
1,1,7,0 (0%),0 (0%),14
2,1,7,0 (0%),0 (0%),14
3,1,7,0 (0%),0 (0%),14
4,1,7,0 (0%),0 (0%),14
5,1,7,0 (0%),0 (0%),14
6,1,7,0 (0%),0 (0%),14
7,1,7,0 (0%),0 (0%),14
8,1,7,0 (0%),0 (0%),14
9,4,10,1 (100%),0 (0%),40
10,4,10,1 (100%),0 (0%),40
11,4,10,1 (100%),0 (0%),40
12,4,10,1 (100%),0 (0%),40
13,4,13,1 (100%),0 (0%),31
14,4,13,1 (100%),0 (0%),31
15,4,13,1 (100%),0 (0%),31
16,4,13,1 (100%),0 (0%),31
17,4,13,1 (100%),0 (0%),31
18,4,13,1 (100%),0 (0%),31
19,3,12,1 (100%),0 (0%),25
20,3,15,1 (100%),0 (0%),20
21,3,13,1 (100%),0 (0%),23
22,3,13,1 (100%),0 (0%),23
23,3,16,1 (100%),0 (0%),19
24,3,16,1 (100%),0 (0%),19
25,3,16,1 (100%),0 (0%),19
26,3,15,1 (100%),0 (0%),20
27,3,15,1 (100%),0 (0%),20
28,6,21,2 (100%),0 (0%),29
29,6,20,2 (100%),0 (0%),30
30,8,21,2 (100%),0 (0%),38
31,8,21,2 (100%),0 (0%),38
32,7,21,2 (100%),0 (0%),33
33,7,21,2 (100%),0 (0%),33
34,7,22,2 (100%),0 (0%),32
35,7,22,2 (100%),0 (0%),32
