Time,PlayerFish,TotalFish,Self,Cross,Score
0,1,4,0 (0%),0 (0%),25
1,1,4,0 (0%),0 (0%),25
2,1,4,0 (0%),0 (0%),25
3,1,4,0 (0%),0 (0%),25
4,1,4,0 (0%),0 (0%),25
5,1,4,0 (0%),0 (0%),25
6,1,4,0 (0%),0 (0%),25
7,1,4,0 (0%),0 (0%),25
8,1,4,0 (0%),0 (0%),25
9,4,7,1 (100%),0 (0%),57
10,4,7,1 (100%),0 (0%),57
11,4,7,1 (100%),0 (0%),57
12,4,7,1 (100%),0 (0%),57
13,4,7,1 (100%),0 (0%),57
14,4,7,1 (100%),0 (0%),57
15,4,7,1 (100%),0 (0%),57
16,4,7,1 (100%),0 (0%),57
17,4,10,1 (100%),0 (0%),40
18,4,10,1 (100%),0 (0%),40
19,4,10,1 (100%),0 (0%),40
20,7,16,1 (100%),0 (0%),44
21,10,17,2 (100%),0 (0%),59
22,10,17,2 (100%),0 (0%),59
23,10,17,2 (100%),0 (0%),59
24,10,16,2 (100%),0 (0%),62
25,10,16,2 (100%),0 (0%),62
26,10,16,2 (100%),0 (0%),62
27,10,16,2 (100%),0 (0%),62
28,13,19,2 (100%),0 (0%),68
29,13,19,2 (100%),0 (0%),68
30,12,18,2 (100%),0 (0%),67
31,12,18,2 (100%),0 (0%),67
32,12,18,2 (100%),0 (0%),67
33,15,20,2 (100%),0 (0%),75
34,14,19,2 (100%),0 (0%),74
35,12,19,2 (100%),0 (0%),63
36,12,19,2 (100%),0 (0%),63
37,12,19,2 (100%),0 (0%),63
38,15,20,3 (100%),0 (0%),75
39,15,20,3 (100%),0 (0%),75
40,11,20,3 (100%),0 (0%),55
41,14,19,3 (100%),0 (0%),74
42,14,19,3 (100%),0 (0%),74
43,14,19,3 (100%),0 (0%),74
44,12,17,3 (100%),0 (0%),71
45,12,20,3 (100%),0 (0%),60
46,13,20,3 (100%),0 (0%),65
47,12,20,3 (100%),0 (0%),60
48,11,19,3 (100%),0 (0%),58
