Time,PlayerFish,TotalFish,Self,Cross,Score
0,1,7,0 (0%),0 (0%),14
1,1,7,0 (0%),0 (0%),14
2,1,7,0 (0%),0 (0%),14
3,1,7,0 (0%),0 (0%),14
4,1,7,0 (0%),0 (0%),14
5,1,7,0 (0%),0 (0%),14
6,1,7,0 (0%),0 (0%),14
7,1,7,0 (0%),0 (0%),14
8,1,7,0 (0%),0 (0%),14
9,1,6,0 (0%),0 (0%),17
10,1,6,0 (0%),0 (0%),17
11,1,6,0 (0%),0 (0%),17
12,1,9,0 (0%),0 (0%),11
13,1,9,0 (0%),0 (0%),11
14,1,9,0 (0%),0 (0%),11
15,1,9,0 (0%),0 (0%),11
16,1,9,0 (0%),0 (0%),11
17,1,12,0 (0%),0 (0%),8
18,1,12,0 (0%),0 (0%),8
19,1,11,0 (0%),0 (0%),9
20,1,10,0 (0%),0 (0%),10
21,1,9,0 (0%),0 (0%),11
22,1,9,0 (0%),0 (0%),11
23,1,12,0 (0%),0 (0%),8
24,1,12,0 (0%),0 (0%),8
25,1,11,0 (0%),0 (0%),9
26,1,11,0 (0%),0 (0%),9
27,4,17,1 (100%),0 (0%),24
28,4,17,1 (100%),0 (0%),24
29,4,17,1 (100%),0 (0%),24
30,4,17,1 (100%),0 (0%),24
31,4,15,1 (100%),0 (0%),27
32,4,15,1 (100%),0 (0%),27
33,4,14,1 (100%),0 (0%),29
34,3,18,1 (100%),0 (0%),17
35,3,18,1 (100%),0 (0%),17
36,3,17,1 (100%),0 (0%),18
37,2,21,1 (100%),0 (0%),10
38,2,21,1 (100%),0 (0%),10
39,2,21,1 (100%),0 (0%),10
40,2,21,1 (100%),0 (0%),10
41,5,22,1 (100%),0 (0%),23
42,5,21,1 (100%),0 (0%),24
43,5,21,1 (100%),0 (0%),24
44,5,24,1 (100%),0 (0%),21
45,5,22,1 (100%),0 (0%),23
46,5,22,1 (100%),0 (0%),23
47,5,24,1 (100%),0 (0%),21
48,5,24,1 (100%),0 (0%),21
49,5,23,1 (100%),0 (0%),22
50,5,22,1 (100%),0 (0%),23
51,5,20,1 (100%),0 (0%),25
52,5,19,1 (100%),0 (0%),26
53,5,21,1 (100%),0 (0%),24
54,5,18,1 (100%),0 (0%),28
55,5,18,1 (100%),0 (0%),28
56,5,20,1 (100%),0 (0%),25
57,6,21,2 (100%),0 (0%),29
58,5,21,2 (100%),0 (0%),24
59,7,22,2 (100%),0 (0%),32
60,7,22,2 (100%),0 (0%),32
