Time,PlayerFish,TotalFish,Self,Cross,Score
0,1,1,0 (0%),0 (0%),100
1,1,1,0 (0%),0 (0%),100
2,1,1,0 (0%),0 (0%),100
3,1,1,0 (0%),0 (0%),100
4,1,1,0 (0%),0 (0%),100
5,1,1,0 (0%),0 (0%),100
6,1,1,0 (0%),0 (0%),100
7,1,1,0 (0%),0 (0%),100
8,1,1,0 (0%),0 (0%),100
9,1,1,0 (0%),0 (0%),100
10,1,1,0 (0%),0 (0%),100
11,1,1,0 (0%),0 (0%),100
12,1,1,0 (0%),0 (0%),100
13,1,1,0 (0%),0 (0%),100
14,1,1,0 (0%),0 (0%),100
15,4,4,1 (100%),0 (0%),100
16,4,4,1 (100%),0 (0%),100
17,4,4,1 (100%),0 (0%),100
18,4,4,1 (100%),0 (0%),100
19,4,4,1 (100%),0 (0%),100
20,4,4,1 (100%),0 (0%),100
21,4,4,1 (100%),0 (0%),100
22,4,4,1 (100%),0 (0%),100
23,4,4,1 (100%),0 (0%),100
24,4,4,1 (100%),0 (0%),100
25,4,4,1 (100%),0 (0%),100
26,4,4,1 (100%),0 (0%),100
27,4,4,1 (100%),0 (0%),100
28,4,4,1 (100%),0 (0%),100
29,3,3,1 (100%),0 (0%),100
30,3,3,1 (100%),0 (0%),100
31,3,3,1 (100%),0 (0%),100
32,3,3,1 (100%),0 (0%),100
33,6,6,1 (100%),0 (0%),100
34,6,6,1 (100%),0 (0%),100
35,6,6,1 (100%),0 (0%),100
36,6,6,1 (100%),0 (0%),100
37,5,5,1 (100%),0 (0%),100
38,4,4,1 (100%),0 (0%),100
39,4,4,1 (100%),0 (0%),100
40,4,4,1 (100%),0 (0%),100
41,4,4,1 (100%),0 (0%),100
42,4,4,1 (100%),0 (0%),100
43,3,3,1 (100%),0 (0%),100
44,3,3,1 (100%),0 (0%),100
45,3,3,1 (100%),0 (0%),100
46,3,3,1 (100%),0 (0%),100
47,3,3,1 (100%),0 (0%),100
48,3,3,1 (100%),0 (0%),100
