Time,PlayerFish,TotalFish,Self,Cross,Score
0,1,1,0 (0%),0 (0%),100
1,1,1,0 (0%),0 (0%),100
2,1,1,0 (0%),0 (0%),100
3,1,1,0 (0%),0 (0%),100
4,1,1,0 (0%),0 (0%),100
5,1,1,0 (0%),0 (0%),100
6,1,1,0 (0%),0 (0%),100
7,1,1,0 (0%),0 (0%),100
8,1,1,0 (0%),0 (0%),100
9,1,1,0 (0%),0 (0%),100
10,1,1,0 (0%),0 (0%),100
11,1,1,0 (0%),0 (0%),100
12,4,4,1 (100%),0 (0%),100
13,4,4,1 (100%),0 (0%),100
14,4,4,1 (100%),0 (0%),100
15,4,4,1 (100%),0 (0%),100
16,4,4,1 (100%),0 (0%),100
17,4,4,1 (100%),0 (0%),100
18,4,4,1 (100%),0 (0%),100
19,4,4,1 (100%),0 (0%),100
20,4,4,1 (100%),0 (0%),100
21,4,4,1 (100%),0 (0%),100
