Time,PlayerFish,TotalFish,Self,Cross,Score,Temp
0,1,13,0 (0%),0 (0%),8,37
1,1,13,0 (0%),0 (0%),8,25
2,1,13,0 (0%),0 (0%),8,25
3,1,16,0 (0%),0 (0%),6,25
4,1,16,0 (0%),0 (0%),6,26
5,1,16,0 (0%),0 (0%),6,27
6,1,16,0 (0%),0 (0%),7,26
7,1,17,0 (0%),0 (0%),6,27
8,1,20,0 (0%),0 (0%),5,27
9,1,20,0 (0%),0 (0%),5,27
10,1,20,0 (0%),0 (0%),5,27
11,1,20,0 (0%),0 (0%),5,27
12,4,22,1 (100%),0 (0%),18,26
13,4,21,1 (100%),0 (0%),19,26
14,4,20,1 (100%),0 (0%),20,26
15,3,19,1 (100%),0 (0%),16,27
16,3,19,1 (100%),0 (0%),16,27
17,3,20,1 (100%),0 (0%),16,27
18,3,20,1 (100%),0 (0%),15,28
