Time,PlayerFish,TotalFish,Self,Cross,Score
0,1,1,0 (0%),0 (0%),100
1,1,1,0 (0%),0 (0%),100
2,1,1,0 (0%),0 (0%),100
3,1,1,0 (0%),0 (0%),100
4,1,1,0 (0%),0 (0%),100
5,1,1,0 (0%),0 (0%),100
6,1,1,0 (0%),0 (0%),100
7,1,1,0 (0%),0 (0%),100
8,1,1,0 (0%),0 (0%),100
9,1,1,0 (0%),0 (0%),100
10,1,1,0 (0%),0 (0%),100
11,4,4,1 (100%),0 (0%),100
12,4,4,1 (100%),0 (0%),100
13,4,4,1 (100%),0 (0%),100
14,4,4,1 (100%),0 (0%),100
15,4,4,1 (100%),0 (0%),100
16,4,4,1 (100%),0 (0%),100
17,4,4,1 (100%),0 (0%),100
18,4,4,1 (100%),0 (0%),100
19,4,4,1 (100%),0 (0%),100
20,4,4,1 (100%),0 (0%),100
21,4,4,1 (100%),0 (0%),100
22,4,4,1 (100%),0 (0%),100
23,4,4,1 (100%),0 (0%),100
24,4,4,1 (100%),0 (0%),100
25,4,4,1 (100%),0 (0%),100
26,4,4,1 (100%),0 (0%),100
27,4,4,1 (100%),0 (0%),100
28,7,7,2 (100%),0 (0%),100
29,6,6,2 (100%),0 (0%),100
30,6,6,2 (100%),0 (0%),100
31,9,9,2 (100%),0 (0%),100
32,8,8,2 (100%),0 (0%),100
33,8,8,2 (100%),0 (0%),100
34,8,8,2 (100%),0 (0%),100
35,8,8,2 (100%),0 (0%),100
36,11,11,2 (100%),0 (0%),100
37,11,11,2 (100%),0 (0%),100
38,10,10,2 (100%),0 (0%),100
39,9,9,2 (100%),0 (0%),100
40,9,9,2 (100%),0 (0%),100
41,9,9,2 (100%),0 (0%),100
